,layer,head,aa,attn_occur_norm
4723,11,16,E,0.33062398
4728,11,16,K,0.49827477
4734,11,16,R,0.63734025
4742,11,17,D,0.62885034
4743,11,17,E,0.66916
4748,11,17,K,0.67515606
4754,11,17,R,0.6780533
4762,11,18,D,0.77618015
4763,11,18,E,0.82256734
4768,11,18,K,0.9132616
4774,11,18,R,0.86400247
4782,11,19,D,1.210877
4783,11,19,E,0.794094
4788,11,19,K,0.903882
4794,11,19,R,0.88122416
4802,12,0,D,0.99035376
4803,12,0,E,0.9795128
4808,12,0,K,0.98024225
4814,12,0,R,0.9728456
4822,12,1,D,0.5415815
4823,12,1,E,0.49196213
4828,12,1,K,0.5336532
4834,12,1,R,0.6256044
4842,12,2,D,0.46046823
4843,12,2,E,0.4568647
4848,12,2,K,0.5394261
4854,12,2,R,0.6837925
4862,12,3,D,0.83886
4863,12,3,E,0.7842283
4868,12,3,K,0.8380062
4874,12,3,R,0.8729902
4882,12,4,D,1.1550124
4883,12,4,E,0.8827928
4888,12,4,K,0.9016924
4894,12,4,R,0.9215205
4902,12,5,D,1.0020773
4903,12,5,E,0.98610586
4908,12,5,K,0.9634
4914,12,5,R,0.9805911
4922,12,6,D,0.53712076
4923,12,6,E,0.6074133
4928,12,6,K,1.0049778
4934,12,6,R,1.2919314
4942,12,7,D,1.0088351
4943,12,7,E,1.1807976
4948,12,7,K,1.13034
4954,12,7,R,0.88445586
4962,12,8,D,0.8603828
4963,12,8,E,0.7365421
4968,12,8,K,0.79094636
4974,12,8,R,0.8672072
4982,12,9,D,0.5515657
4983,12,9,E,0.46584862
4988,12,9,K,0.62096834
4994,12,9,R,0.82601035
5002,12,10,D,0.7146913
5003,12,10,E,0.69860065
5008,12,10,K,0.75714976
5014,12,10,R,0.8499033
5022,12,11,D,0.9246047
5023,12,11,E,0.8474991
5028,12,11,K,0.8653301
5034,12,11,R,0.92716855
5042,12,12,D,0.9939557
5043,12,12,E,0.9738298
5048,12,12,K,0.945882
5054,12,12,R,0.95718783
5062,12,13,D,0.7536895
5063,12,13,E,0.6776947
5068,12,13,K,0.73910004
5074,12,13,R,0.8462489
5082,12,14,D,0.99027133
5083,12,14,E,0.8609704
5088,12,14,K,0.77878946
5094,12,14,R,0.8178911
5102,12,15,D,0.7768271
5103,12,15,E,0.7482782
5108,12,15,K,0.8198131
5114,12,15,R,0.8272155
5122,12,16,D,0.8238798
5123,12,16,E,0.8834738
5128,12,16,K,0.9523038
5134,12,16,R,0.95279795
5142,12,17,D,0.891724
5143,12,17,E,0.77735174
5148,12,17,K,0.7745803
5154,12,17,R,0.8232363
5162,12,18,D,0.9983467
5163,12,18,E,0.9599961
5168,12,18,K,0.9637008
5174,12,18,R,0.97571945
5182,12,19,D,0.74946845
5183,12,19,E,0.6492631
5188,12,19,K,0.8174948
5194,12,19,R,0.8613504
5202,13,0,D,0.909826
5203,13,0,E,0.88028777
5208,13,0,K,0.88768387
5214,13,0,R,0.8886288
5222,13,1,D,0.6741972
5223,13,1,E,0.602513
5228,13,1,K,0.7396628
5234,13,1,R,0.8144925
5242,13,2,D,0.6594692
5243,13,2,E,0.59228784
5248,13,2,K,0.76046723
5254,13,2,R,0.93522006
5262,13,3,D,0.973554
5263,13,3,E,0.94761467
5268,13,3,K,0.90625614
5274,13,3,R,0.8584033
5282,13,4,D,0.90018576
5283,13,4,E,0.7946217
5288,13,4,K,0.81147885
5294,13,4,R,0.90664333
5302,13,5,D,0.96969306
5303,13,5,E,0.9456231
5308,13,5,K,0.9542012
5314,13,5,R,0.97175795
5322,13,6,D,0.9027177
5323,13,6,E,0.83881915
5328,13,6,K,0.77262837
5334,13,6,R,0.7887426
5342,13,7,D,0.9094519
5343,13,7,E,0.9298153
5348,13,7,K,0.9125078
5354,13,7,R,0.8970707
5362,13,8,D,0.8857345
5363,13,8,E,0.859924
5368,13,8,K,0.8634811
5374,13,8,R,0.8171858
5382,13,9,D,0.966801
5383,13,9,E,0.9564203
5388,13,9,K,0.95712817
5394,13,9,R,0.9607779
5402,13,10,D,0.5174567
5403,13,10,E,0.5281092
5408,13,10,K,0.5999153
5414,13,10,R,0.5209944
5422,13,11,D,0.9440503
5423,13,11,E,0.920493
5428,13,11,K,0.960426
5434,13,11,R,0.9399081
5442,13,12,D,0.61269397
5443,13,12,E,0.5473319
5448,13,12,K,0.8728084
5454,13,12,R,0.7797829
5462,13,13,D,0.70890486
5463,13,13,E,0.64795583
5468,13,13,K,0.77721965
5474,13,13,R,0.79988146
5482,13,14,D,0.7295789
5483,13,14,E,0.65040356
5488,13,14,K,0.690689
5494,13,14,R,0.7480731
5502,13,15,D,0.66109097
5503,13,15,E,0.6323203
5508,13,15,K,0.64244676
5514,13,15,R,0.70384383
5522,13,16,D,0.5637117
5523,13,16,E,0.5144158
5528,13,16,K,0.7276246
5534,13,16,R,0.8603232
5542,13,17,D,0.9250227
5543,13,17,E,0.92961425
5548,13,17,K,0.9360506
5554,13,17,R,0.85572296
5562,13,18,D,0.9551331
5563,13,18,E,0.77756333
5568,13,18,K,0.73074853
5574,13,18,R,0.7489554
5582,13,19,D,0.9036923
5583,13,19,E,0.948366
5588,13,19,K,0.8079774
5594,13,19,R,0.73032254
5602,14,0,D,0.45968446
5603,14,0,E,0.39873213
5608,14,0,K,0.54357904
5614,14,0,R,0.66674566
5622,14,1,D,0.6801319
5623,14,1,E,0.7062476
5628,14,1,K,0.75470895
5634,14,1,R,0.7690741
5642,14,2,D,0.7536636
5643,14,2,E,0.70447314
5648,14,2,K,0.70568126
5654,14,2,R,0.7687076
5662,14,3,D,0.76626766
5663,14,3,E,0.8964859
5668,14,3,K,0.84898895
5674,14,3,R,0.7206953
5682,14,4,D,1.6350087
5683,14,4,E,1.3496102
5688,14,4,K,0.5640759
5694,14,4,R,0.54169977
5702,14,5,D,0.9705084
5703,14,5,E,0.9525049
5708,14,5,K,0.95917815
5714,14,5,R,0.979354
5722,14,6,D,0.9763563
5723,14,6,E,0.97533524
5728,14,6,K,0.96916115
5734,14,6,R,0.9809851
5742,14,7,D,0.71269625
5743,14,7,E,0.6377636
5748,14,7,K,0.55877274
5754,14,7,R,0.6185354
5762,14,8,D,0.6481337
5763,14,8,E,0.6015799
5768,14,8,K,0.6176424
5774,14,8,R,0.67155856
5782,14,9,D,0.35550237
5783,14,9,E,0.32139271
5788,14,9,K,0.4838193
5794,14,9,R,0.69629735
5802,14,10,D,0.74005485
5803,14,10,E,0.76245105
5808,14,10,K,0.85442144
5814,14,10,R,0.82717705
5822,14,11,D,0.6005837
5823,14,11,E,0.57269025
5828,14,11,K,0.6585456
5834,14,11,R,0.6818922
5842,14,12,D,0.84965456
5843,14,12,E,0.8006601
5848,14,12,K,0.78968334
5854,14,12,R,0.8059509
5862,14,13,D,0.77314425
5863,14,13,E,0.7891224
5868,14,13,K,0.7995683
5874,14,13,R,0.84673876
5882,14,14,D,0.8777897
5883,14,14,E,0.8267355
5888,14,14,K,0.839796
5894,14,14,R,0.89431715
5902,14,15,D,0.9346665
5903,14,15,E,0.9151633
5908,14,15,K,0.940032
5914,14,15,R,0.9525909
5922,14,16,D,0.79762465
5923,14,16,E,0.6115716
5928,14,16,K,0.6296295
5934,14,16,R,0.7350161
5942,14,17,D,1.1864109
5943,14,17,E,1.3081515
5948,14,17,K,1.8792554
5954,14,17,R,1.3602647
5962,14,18,D,0.78761345
5963,14,18,E,0.6423359
5968,14,18,K,0.6810444
5974,14,18,R,0.7655278
5982,14,19,D,1.4558811
5983,14,19,E,1.3088197
5988,14,19,K,1.0902115
5994,14,19,R,1.0882406
6002,15,0,D,0.5134925
6003,15,0,E,0.49802762
6008,15,0,K,0.50615734
6014,15,0,R,0.50422496
6022,15,1,D,1.4062085
6023,15,1,E,1.5974256
6028,15,1,K,0.67301536
6034,15,1,R,0.75526255
6042,15,2,D,0.6464428
6043,15,2,E,0.5356189
6048,15,2,K,0.5570766
6054,15,2,R,0.6280693
6062,15,3,D,1.0698156
6063,15,3,E,1.0645652
6068,15,3,K,1.6542286
6074,15,3,R,1.7009256
6082,15,4,D,1.1274606
6083,15,4,E,1.095028
6088,15,4,K,0.665378
6094,15,4,R,0.56815326
6102,15,5,D,0.81693953
6103,15,5,E,0.69482183
6108,15,5,K,0.8753132
6114,15,5,R,0.5563581
6122,15,6,D,0.7189463
6123,15,6,E,0.7166945
6128,15,6,K,0.63525635
6134,15,6,R,0.6555424
6142,15,7,D,0.7874483
6143,15,7,E,0.7612174
6148,15,7,K,0.8084577
6154,15,7,R,0.7987776
6162,15,8,D,0.6680732
6163,15,8,E,0.6054994
6168,15,8,K,0.9547232
6174,15,8,R,0.9946559
6182,15,9,D,0.9491773
6183,15,9,E,0.9361254
6188,15,9,K,0.9515776
6194,15,9,R,0.95904773
6202,15,10,D,0.8595505
6203,15,10,E,0.8124072
6208,15,10,K,0.8636419
6214,15,10,R,0.9096178
6222,15,11,D,0.40774912
6223,15,11,E,0.40436363
6228,15,11,K,0.4062425
6234,15,11,R,0.38576978
6242,15,12,D,0.7695
6243,15,12,E,0.69639415
6248,15,12,K,0.6627383
6254,15,12,R,0.73143196
6262,15,13,D,0.7913782
6263,15,13,E,0.7346099
6268,15,13,K,0.7910959
6274,15,13,R,0.86645085
6282,15,14,D,0.86094046
6283,15,14,E,0.7155706
6288,15,14,K,0.83450186
6294,15,14,R,0.8353114
6302,15,15,D,0.8477001
6303,15,15,E,0.7322443
6308,15,15,K,0.690091
6314,15,15,R,0.63815147
6322,15,16,D,0.7942456
6323,15,16,E,0.95856076
6328,15,16,K,0.9877983
6334,15,16,R,0.6076931
6342,15,17,D,0.55583054
6343,15,17,E,0.5737408
6348,15,17,K,0.6054203
6354,15,17,R,0.5786389
6362,15,18,D,0.794948
6363,15,18,E,0.72798294
6368,15,18,K,0.7294543
6374,15,18,R,0.7819353
6382,15,19,D,0.8546566
6383,15,19,E,0.8710655
6388,15,19,K,0.94560033
6394,15,19,R,0.980106
6402,16,0,D,0.83459175
6403,16,0,E,0.8053496
6408,16,0,K,0.9058833
6414,16,0,R,0.86923575
6422,16,1,D,0.84013015
6423,16,1,E,0.89386946
6428,16,1,K,0.5901969
6434,16,1,R,0.6351604
6442,16,2,D,0.6960708
6443,16,2,E,0.53282994
6448,16,2,K,0.5232967
6454,16,2,R,0.9533618
6462,16,3,D,1.0315678
6463,16,3,E,1.0777739
6468,16,3,K,1.012111
6474,16,3,R,1.0426455
6482,16,4,D,0.6696892
6483,16,4,E,1.0504713
6488,16,4,K,1.3300872
6494,16,4,R,1.1589115
6502,16,5,D,1.107569
6503,16,5,E,1.152737
6508,16,5,K,1.3956232
6514,16,5,R,1.3383342
6522,16,6,D,0.6648182
6523,16,6,E,0.6595593
6528,16,6,K,0.6761425
6534,16,6,R,0.6728899
6542,16,7,D,0.2784164
6543,16,7,E,0.24850109
6548,16,7,K,0.3660015
6554,16,7,R,0.56510085
6562,16,8,D,0.9792938
6563,16,8,E,1.0076212
6568,16,8,K,0.9177075
6574,16,8,R,0.77245617
6582,16,9,D,1.0294404
6583,16,9,E,0.81469816
6588,16,9,K,0.6585895
6594,16,9,R,0.6947105
6602,16,10,D,0.6275831
6603,16,10,E,0.57200605
6608,16,10,K,0.98824984
6614,16,10,R,0.9353133
6622,16,11,D,0.6556906
6623,16,11,E,0.6769195
6628,16,11,K,0.7344793
6634,16,11,R,0.76691884
6642,16,12,D,1.0232885
6643,16,12,E,0.8050102
6648,16,12,K,0.8136437
6654,16,12,R,0.8600538
6662,16,13,D,0.40749788
6663,16,13,E,0.38822863
6668,16,13,K,0.57534975
6674,16,13,R,0.71205825
6682,16,14,D,0.9247682
6683,16,14,E,1.0184646
6688,16,14,K,1.1700263
6694,16,14,R,1.1934044
6702,16,15,D,0.81200886
6703,16,15,E,0.72417164
6708,16,15,K,0.8274583
6714,16,15,R,0.8608236
6722,16,16,D,0.62359554
6723,16,16,E,0.77715063
6728,16,16,K,1.0255585
6734,16,16,R,0.7965733
6742,16,17,D,0.7674452
6743,16,17,E,0.66991633
6748,16,17,K,0.68220913
6754,16,17,R,0.67469734
6762,16,18,D,0.65469754
6763,16,18,E,0.6199251
6768,16,18,K,0.6399227
6774,16,18,R,0.6599959
6782,16,19,D,0.66033876
6783,16,19,E,0.5932681
6788,16,19,K,0.60853446
6794,16,19,R,0.582438
6802,17,0,D,1.1089995
6803,17,0,E,0.9933739
6808,17,0,K,1.0506741
6814,17,0,R,0.9867434
6822,17,1,D,0.62649477
6823,17,1,E,0.64449453
6828,17,1,K,0.8625947
6834,17,1,R,0.95719945
6842,17,2,D,0.66570747
6843,17,2,E,0.80089414
6848,17,2,K,0.5703601
6854,17,2,R,0.5713838
6862,17,3,D,0.5955358
6863,17,3,E,0.5314598
6868,17,3,K,0.85282785
6874,17,3,R,1.0967369
6882,17,4,D,0.52115446
6883,17,4,E,0.44681722
6888,17,4,K,0.6246897
6894,17,4,R,0.68891364
6902,17,5,D,0.5709817
6903,17,5,E,0.5423616
6908,17,5,K,0.7268687
6914,17,5,R,0.80621964
6922,17,6,D,1.0969013
6923,17,6,E,0.9175235
6928,17,6,K,0.7668696
6934,17,6,R,0.75506616
6942,17,7,D,0.7955171
6943,17,7,E,0.7597644
6948,17,7,K,0.8861642
6954,17,7,R,0.84010774
6962,17,8,D,0.8905505
6963,17,8,E,0.7424939
6968,17,8,K,0.61517024
6974,17,8,R,0.6572068
6982,17,9,D,0.6686779
6983,17,9,E,0.6850277
6988,17,9,K,0.8261724
6994,17,9,R,0.6836882
7002,17,10,D,0.6277526
7003,17,10,E,0.53451484
7008,17,10,K,0.7026658
7014,17,10,R,0.6930943
7022,17,11,D,0.41793916
7023,17,11,E,0.46116206
7028,17,11,K,2.9650092
7034,17,11,R,2.845211
7042,17,12,D,0.41834494
7043,17,12,E,0.404077
7048,17,12,K,0.52413046
7054,17,12,R,0.5991645
7062,17,13,D,0.89802563
7063,17,13,E,0.80930734
7068,17,13,K,0.74503297
7074,17,13,R,0.87127495
7082,17,14,D,0.6718667
7083,17,14,E,0.67517024
7088,17,14,K,0.644019
7094,17,14,R,0.6867151
7102,17,15,D,0.8326731
7103,17,15,E,0.8216006
7108,17,15,K,0.8124792
7114,17,15,R,0.82257706
7122,17,16,D,0.62592494
7123,17,16,E,0.6311983
7128,17,16,K,0.7383264
7134,17,16,R,1.0089381
7142,17,17,D,1.1221846
7143,17,17,E,1.0308151
7148,17,17,K,0.56483227
7154,17,17,R,0.6504422
7162,17,18,D,0.75944793
7163,17,18,E,0.8044684
7168,17,18,K,0.8410017
7174,17,18,R,0.7890386
7182,17,19,D,0.8827726
7183,17,19,E,0.87121266
7188,17,19,K,0.7900035
7194,17,19,R,0.80831456
7202,18,0,D,0.7679849
7203,18,0,E,0.50206494
7208,18,0,K,0.4339606
7214,18,0,R,0.63167965
7222,18,1,D,0.53565085
7223,18,1,E,0.4766937
7228,18,1,K,0.6506675
7234,18,1,R,0.77042997
7242,18,2,D,0.7034384
7243,18,2,E,0.6197417
7248,18,2,K,0.70832044
7254,18,2,R,0.71080655
7262,18,3,D,1.2962778
7263,18,3,E,0.65855736
7268,18,3,K,0.7267405
7274,18,3,R,0.7999219
7282,18,4,D,0.4233883
7283,18,4,E,0.4018872
7288,18,4,K,0.42560443
7294,18,4,R,0.64909875
7302,18,5,D,0.79656994
7303,18,5,E,0.8443039
7308,18,5,K,0.897576
7314,18,5,R,0.943712
7322,18,6,D,0.9707605
7323,18,6,E,0.9435012
7328,18,6,K,0.9465167
7334,18,6,R,0.95193434
7342,18,7,D,0.8320259
7343,18,7,E,0.7821203
7348,18,7,K,0.83944905
7354,18,7,R,0.7493135
7362,18,8,D,1.4944266
7363,18,8,E,1.0098444
7368,18,8,K,0.7912096
7374,18,8,R,0.8227449
7382,18,9,D,0.77964705
7383,18,9,E,0.77705276
7388,18,9,K,0.70143384
7394,18,9,R,0.64923483
7402,18,10,D,0.6498661
7403,18,10,E,0.64578
7408,18,10,K,0.67075807
7414,18,10,R,0.601233
7422,18,11,D,0.5504301
7423,18,11,E,0.5992137
7428,18,11,K,1.0740627
7434,18,11,R,1.5252217
7442,18,12,D,0.6423264
7443,18,12,E,0.5591656
7448,18,12,K,0.59937084
7454,18,12,R,0.673984
7462,18,13,D,1.0584959
7463,18,13,E,0.95859706
7468,18,13,K,1.2338562
7474,18,13,R,0.69753027
7482,18,14,D,1.2189609
7483,18,14,E,1.3015553
7488,18,14,K,1.3227607
7494,18,14,R,1.0704148
7502,18,15,D,0.93911034
7503,18,15,E,0.7373335
7508,18,15,K,1.1067927
7514,18,15,R,0.8334406
7522,18,16,D,0.94234324
7523,18,16,E,0.69347703
7528,18,16,K,0.7031311
7534,18,16,R,0.6096698
7542,18,17,D,0.9329825
7543,18,17,E,0.96050215
7548,18,17,K,0.83256507
7554,18,17,R,0.90223414
7562,18,18,D,0.6173674
7563,18,18,E,0.47242677
7568,18,18,K,0.49873233
7574,18,18,R,0.5224811
7582,18,19,D,0.66914344
7583,18,19,E,0.598564
7588,18,19,K,0.7257971
7594,18,19,R,0.69086796
7602,19,0,D,0.87791854
7603,19,0,E,0.8992419
7608,19,0,K,0.91260946
7614,19,0,R,0.9420019
7622,19,1,D,0.6311169
7623,19,1,E,0.5500011
7628,19,1,K,0.6702911
7634,19,1,R,0.65982056
7642,19,2,D,0.54991853
7643,19,2,E,0.47789448
7648,19,2,K,0.5835728
7654,19,2,R,0.662649
7662,19,3,D,0.84977514
7663,19,3,E,0.734167
7668,19,3,K,0.90483695
7674,19,3,R,0.98429304
7682,19,4,D,1.1368262
7683,19,4,E,0.9529235
7688,19,4,K,0.8923066
7694,19,4,R,0.9112583
7702,19,5,D,0.65999836
7703,19,5,E,0.64358914
7708,19,5,K,0.60310966
7714,19,5,R,0.5377187
7722,19,6,D,0.85083777
7723,19,6,E,0.7948662
7728,19,6,K,0.79054856
7734,19,6,R,0.8106324
7742,19,7,D,0.82223684
7743,19,7,E,0.69711787
7748,19,7,K,0.7772621
7754,19,7,R,0.77047545
7762,19,8,D,0.76974636
7763,19,8,E,0.76536894
7768,19,8,K,0.7592137
7774,19,8,R,0.73976177
7782,19,9,D,0.44924998
7783,19,9,E,0.4561549
7788,19,9,K,0.47731492
7794,19,9,R,0.52866143
7802,19,10,D,0.6481778
7803,19,10,E,0.5174706
7808,19,10,K,0.60696733
7814,19,10,R,0.54274833
7822,19,11,D,0.58838767
7823,19,11,E,0.62365377
7828,19,11,K,0.7730373
7834,19,11,R,0.7629434
7842,19,12,D,0.577271
7843,19,12,E,0.5664475
7848,19,12,K,0.60516113
7854,19,12,R,0.6998419
7862,19,13,D,0.7109808
7863,19,13,E,0.74924695
7868,19,13,K,0.903972
7874,19,13,R,1.3205622
7882,19,14,D,1.0478243
7883,19,14,E,0.98002326
7888,19,14,K,0.97685426
7894,19,14,R,1.0007088
7902,19,15,D,0.8967257
7903,19,15,E,0.8505556
7908,19,15,K,0.7065563
7914,19,15,R,0.7149941
7922,19,16,D,0.6850039
7923,19,16,E,0.8050882
7928,19,16,K,1.3026285
7934,19,16,R,1.2543309
7942,19,17,D,0.9252921
7943,19,17,E,0.8158421
7948,19,17,K,0.80364054
7954,19,17,R,0.8828608
7962,19,18,D,1.1431475
7963,19,18,E,0.92754966
7968,19,18,K,0.80915946
7974,19,18,R,0.6835628
7982,19,19,D,0.5407927
7983,19,19,E,0.47300217
7988,19,19,K,0.5010031
7994,19,19,R,0.6008468
8002,20,0,D,0.66168684
8003,20,0,E,0.60418004
8008,20,0,K,0.65759724
8014,20,0,R,0.67647845
8022,20,1,D,0.7870098
8023,20,1,E,0.7483517
8028,20,1,K,0.7199137
8034,20,1,R,0.79288054
8042,20,2,D,0.9006431
8043,20,2,E,0.81005776
8048,20,2,K,0.77020633
8054,20,2,R,0.78877467
8062,20,3,D,0.9225249
8063,20,3,E,0.91637915
8068,20,3,K,0.9660103
8074,20,3,R,1.006215
8082,20,4,D,0.81560475
8083,20,4,E,0.74483705
8088,20,4,K,0.8013143
8094,20,4,R,0.8631729
8102,20,5,D,0.85719836
8103,20,5,E,0.69961244
8108,20,5,K,0.71433914
8114,20,5,R,0.7178994
8122,20,6,D,1.204624
8123,20,6,E,1.3306319
8128,20,6,K,1.2107066
8134,20,6,R,1.2903804
8142,20,7,D,0.4423864
8143,20,7,E,0.4805561
8148,20,7,K,0.48247033
8154,20,7,R,0.5142411
8162,20,8,D,0.79792684
8163,20,8,E,0.55322826
8168,20,8,K,0.79016197
8174,20,8,R,0.7817942
8182,20,9,D,0.78357685
8183,20,9,E,0.5856406
8188,20,9,K,0.69810545
8194,20,9,R,0.7409788
8202,20,10,D,0.89368945
8203,20,10,E,0.9054734
8208,20,10,K,0.9015246
8214,20,10,R,0.9508138
8222,20,11,D,0.6202941
8223,20,11,E,0.61786366
8228,20,11,K,0.6131018
8234,20,11,R,0.60150576
8242,20,12,D,0.79279315
8243,20,12,E,0.70642245
8248,20,12,K,0.7884513
8254,20,12,R,0.78030205
8262,20,13,D,1.0359913
8263,20,13,E,0.86345035
8268,20,13,K,0.8669684
8274,20,13,R,0.89708805
8282,20,14,D,0.56887287
8283,20,14,E,0.73444086
8288,20,14,K,0.968754
8294,20,14,R,1.4314563
8302,20,15,D,0.82298476
8303,20,15,E,0.84407014
8308,20,15,K,0.92757136
8314,20,15,R,0.94982177
8322,20,16,D,0.734052
8323,20,16,E,0.62918264
8328,20,16,K,0.66172725
8334,20,16,R,0.7456325
8342,20,17,D,0.9660313
8343,20,17,E,1.2302629
8348,20,17,K,0.656403
8354,20,17,R,0.663792
8362,20,18,D,0.8156836
8363,20,18,E,0.6767
8368,20,18,K,0.81361836
8374,20,18,R,0.9062927
8382,20,19,D,0.89999545
8383,20,19,E,0.8235429
8388,20,19,K,0.84409726
8394,20,19,R,0.90085995
8402,21,0,D,0.81016463
8403,21,0,E,0.85069007
8408,21,0,K,0.8592571
8414,21,0,R,0.775943
8422,21,1,D,0.75550646
8423,21,1,E,0.7434377
8428,21,1,K,0.55112696
8434,21,1,R,0.5802659
8442,21,2,D,0.71619177
8443,21,2,E,0.6617644
8448,21,2,K,0.6691775
8454,21,2,R,0.75697696
8462,21,3,D,0.8202705
8463,21,3,E,0.661104
8468,21,3,K,0.6085853
8474,21,3,R,0.6115409
8482,21,4,D,0.7471778
8483,21,4,E,0.7213447
8488,21,4,K,0.78348887
8494,21,4,R,0.7783371
8502,21,5,D,0.62202084
8503,21,5,E,0.67801905
8508,21,5,K,0.71094453
8514,21,5,R,0.64577645
8522,21,6,D,0.70719
8523,21,6,E,0.6272463
8528,21,6,K,0.689156
8534,21,6,R,0.79933614
8542,21,7,D,0.58619434
8543,21,7,E,0.5565786
8548,21,7,K,0.63728213
8554,21,7,R,0.65132266
8562,21,8,D,0.8527035
8563,21,8,E,0.81604594
8568,21,8,K,0.717067
8574,21,8,R,0.65461046
8582,21,9,D,0.65997994
8583,21,9,E,0.58339095
8588,21,9,K,0.67324555
8594,21,9,R,0.65122974
8602,21,10,D,0.524462
8603,21,10,E,0.5196338
8608,21,10,K,0.7906582
8614,21,10,R,0.6946942
8622,21,11,D,1.1228607
8623,21,11,E,0.77278715
8628,21,11,K,0.7867784
8634,21,11,R,0.7181991
8642,21,12,D,0.6252799
8643,21,12,E,0.74761546
8648,21,12,K,0.5887682
8654,21,12,R,0.68050957
8662,21,13,D,0.87942433
8663,21,13,E,0.75134546
8668,21,13,K,0.7460453
8674,21,13,R,0.8036488
8682,21,14,D,1.1322982
8683,21,14,E,1.022476
8688,21,14,K,1.02138
8694,21,14,R,1.077565
8702,21,15,D,0.7497788
8703,21,15,E,0.7737682
8708,21,15,K,0.8268625
8714,21,15,R,0.88028705
8722,21,16,D,2.4353728
8723,21,16,E,1.5131242
8728,21,16,K,0.55635875
8734,21,16,R,0.5066196
8742,21,17,D,0.53554803
8743,21,17,E,0.4581233
8748,21,17,K,1.5646588
8754,21,17,R,1.0718175
8762,21,18,D,0.9703035
8763,21,18,E,0.7114247
8768,21,18,K,0.685722
8774,21,18,R,1.1449015
8782,21,19,D,0.6213674
8783,21,19,E,0.5769934
8788,21,19,K,0.80547285
8794,21,19,R,0.8269906
8802,22,0,D,0.8404513
8803,22,0,E,0.77783567
8808,22,0,K,0.94210345
8814,22,0,R,1.1025894
8822,22,1,D,0.8493883
8823,22,1,E,0.85425353
8828,22,1,K,1.1002405
8834,22,1,R,1.0236254
8842,22,2,D,0.6834154
8843,22,2,E,0.5157414
8848,22,2,K,0.61632335
8854,22,2,R,0.7224379
8862,22,3,D,0.8864893
8863,22,3,E,0.8480288
8868,22,3,K,0.8811757
8874,22,3,R,0.8991509
8882,22,4,D,1.365477
8883,22,4,E,1.1001033
8888,22,4,K,1.1498637
8894,22,4,R,0.9395328
8902,22,5,D,0.5995302
8903,22,5,E,0.54251486
8908,22,5,K,0.5833285
8914,22,5,R,0.6649705
8922,22,6,D,0.86822534
8923,22,6,E,0.7887961
8928,22,6,K,1.0693974
8934,22,6,R,1.1808006
8942,22,7,D,0.61754483
8943,22,7,E,0.541312
8948,22,7,K,0.6238606
8954,22,7,R,0.9789077
8962,22,8,D,0.89443636
8963,22,8,E,0.7398023
8968,22,8,K,0.77137905
8974,22,8,R,0.8360298
8982,22,9,D,0.9118416
8983,22,9,E,0.84658206
8988,22,9,K,0.7505018
8994,22,9,R,0.73485404
9002,22,10,D,0.77125245
9003,22,10,E,0.67546016
9008,22,10,K,0.80100745
9014,22,10,R,0.81095237
9022,22,11,D,1.0419576
9023,22,11,E,0.96317446
9028,22,11,K,1.0068861
9034,22,11,R,0.95835865
9042,22,12,D,0.5640097
9043,22,12,E,0.5226094
9048,22,12,K,1.1390688
9054,22,12,R,1.0079
9062,22,13,D,0.6139914
9063,22,13,E,0.47910795
9068,22,13,K,0.5062461
9074,22,13,R,0.5283004
9082,22,14,D,0.66689086
9083,22,14,E,0.6427534
9088,22,14,K,0.650502
9094,22,14,R,0.7277084
9102,22,15,D,0.94972944
9103,22,15,E,0.79498756
9108,22,15,K,0.8676503
9114,22,15,R,0.86505693
9122,22,16,D,0.7883578
9123,22,16,E,0.7877517
9128,22,16,K,0.8681735
9134,22,16,R,0.95652956
9142,22,17,D,0.3394316
9143,22,17,E,0.3727838
9148,22,17,K,0.55807304
9154,22,17,R,0.6135747
9162,22,18,D,3.0939705
9163,22,18,E,3.0638108
9168,22,18,K,0.58357877
9174,22,18,R,0.39412406
9182,22,19,D,0.9598638
9183,22,19,E,0.6668009
9188,22,19,K,0.70393616
9194,22,19,R,0.84495646
9202,23,0,D,0.81858283
9203,23,0,E,0.7321601
9208,23,0,K,0.7357727
9214,23,0,R,0.77343804
9222,23,1,D,0.8675168
9223,23,1,E,0.9970003
9228,23,1,K,0.7828816
9234,23,1,R,0.65654624
9242,23,2,D,0.6805236
9243,23,2,E,0.6018351
9248,23,2,K,0.6122027
9254,23,2,R,1.1123033
9262,23,3,D,0.9282779
9263,23,3,E,0.687532
9268,23,3,K,0.7345174
9274,23,3,R,0.77951485
9282,23,4,D,0.8525343
9283,23,4,E,0.73226243
9288,23,4,K,0.64554584
9294,23,4,R,0.62654936
9302,23,5,D,0.897147
9303,23,5,E,0.7912658
9308,23,5,K,0.7898771
9314,23,5,R,0.82085145
9322,23,6,D,0.8331593
9323,23,6,E,0.7559163
9328,23,6,K,0.7871841
9334,23,6,R,0.79316807
9342,23,7,D,0.5207143
9343,23,7,E,0.48050857
9348,23,7,K,0.576334
9354,23,7,R,0.59401816
9362,23,8,D,0.8783547
9363,23,8,E,0.7691432
9368,23,8,K,0.7729272
9374,23,8,R,0.7798217
9382,23,9,D,0.810078
9383,23,9,E,0.77618873
9388,23,9,K,0.91407937
9394,23,9,R,0.94009984
9402,23,10,D,0.8351139
