,layer,head,aa,attn_occur_norm
994,2,9,R,2.2596073
1002,2,10,D,0.770025
1003,2,10,E,0.5652224
1008,2,10,K,0.52825123
1014,2,10,R,0.5640091
1022,2,11,D,1.0883638
1023,2,11,E,0.77678156
1028,2,11,K,0.67892367
1034,2,11,R,0.7454979
1042,2,12,D,0.62417454
1043,2,12,E,0.7154957
1048,2,12,K,1.113824
1054,2,12,R,1.0019653
1062,2,13,D,0.70371836
1063,2,13,E,1.2380364
1068,2,13,K,0.97623
1074,2,13,R,0.93261683
1082,2,14,D,0.96309644
1083,2,14,E,0.9847868
1088,2,14,K,0.96732783
1094,2,14,R,0.9937038
1102,2,15,D,0.9471111
1103,2,15,E,1.0131673
1108,2,15,K,0.92516595
1114,2,15,R,0.73038256
1122,2,16,D,1.2983221
1123,2,16,E,1.2052352
1128,2,16,K,1.1674719
1134,2,16,R,1.0111235
1142,2,17,D,0.9661974
1143,2,17,E,0.9504519
1148,2,17,K,0.94843674
1154,2,17,R,0.92211264
1162,2,18,D,0.95477265
1163,2,18,E,0.97551167
1168,2,18,K,0.9684061
1174,2,18,R,0.99832094
1182,2,19,D,0.7564266
1183,2,19,E,0.9347252
1188,2,19,K,1.0338829
1194,2,19,R,0.8696743
1202,3,0,D,1.0804297
1203,3,0,E,0.88740057
1208,3,0,K,1.104136
1214,3,0,R,1.2506977
1222,3,1,D,1.3844422
1223,3,1,E,3.1519976
1228,3,1,K,1.8376889
1234,3,1,R,0.9617663
1242,3,2,D,1.0301851
1243,3,2,E,1.2786564
1248,3,2,K,1.776384
1254,3,2,R,0.8599081
1262,3,3,D,0.74098194
1263,3,3,E,0.74427944
1268,3,3,K,0.75076914
1274,3,3,R,0.67947316
1282,3,4,D,0.87947136
1283,3,4,E,0.7391974
1288,3,4,K,1.0253177
1294,3,4,R,0.98273826
1302,3,5,D,1.4138749
1303,3,5,E,1.1773738
1308,3,5,K,0.9708296
1314,3,5,R,0.8914421
1322,3,6,D,1.0011036
1323,3,6,E,0.9674976
1328,3,6,K,0.84408456
1334,3,6,R,1.0306047
1342,3,7,D,0.9494094
1343,3,7,E,0.91276634
1348,3,7,K,0.94333875
1354,3,7,R,0.9762024
1362,3,8,D,0.6101114
1363,3,8,E,0.44649696
1368,3,8,K,0.29585305
1374,3,8,R,0.26672256
1382,3,9,D,0.54821044
1383,3,9,E,0.6144696
1388,3,9,K,0.66139424
1394,3,9,R,0.8432446
1402,3,10,D,1.1105679
1403,3,10,E,1.0804662
1408,3,10,K,0.98555815
1414,3,10,R,0.9838839
1422,3,11,D,0.93068033
1423,3,11,E,0.9281496
1428,3,11,K,0.94637346
1434,3,11,R,0.97137237
1442,3,12,D,0.26259243
1443,3,12,E,0.624769
1448,3,12,K,3.8857834
1454,3,12,R,4.7004895
1462,3,13,D,0.72711754
1463,3,13,E,0.71821505
1468,3,13,K,0.7320631
1474,3,13,R,0.84312576
1482,3,14,D,1.9345965
1483,3,14,E,0.8382787
1488,3,14,K,0.83900076
1494,3,14,R,0.74262375
1502,3,15,D,0.9555841
1503,3,15,E,0.94290537
1508,3,15,K,0.937065
1514,3,15,R,0.9657195
1522,3,16,D,0.79422355
1523,3,16,E,0.7223774
1528,3,16,K,0.7094085
1534,3,16,R,0.7146867
1542,3,17,D,0.93279123
1543,3,17,E,0.61820626
1548,3,17,K,0.44948933
1554,3,17,R,0.77308744
1562,3,18,D,0.7745523
1563,3,18,E,0.7788822
1568,3,18,K,0.88783187
1574,3,18,R,1.2189444
1582,3,19,D,0.9513047
1583,3,19,E,0.9617572
1588,3,19,K,0.9624988
1594,3,19,R,0.98773533
1602,4,0,D,0.8632508
1603,4,0,E,0.78822666
1608,4,0,K,0.73433137
1614,4,0,R,0.7947572
1622,4,1,D,1.0147953
1623,4,1,E,0.87795746
1628,4,1,K,0.8506913
1634,4,1,R,0.9774686
1642,4,2,D,0.94156
1643,4,2,E,0.92804414
1648,4,2,K,0.93063223
1654,4,2,R,0.9461712
1662,4,3,D,0.6549317
1663,4,3,E,0.710158
1668,4,3,K,1.1478727
1674,4,3,R,0.8917231
1682,4,4,D,0.84069043
1683,4,4,E,0.7376098
1688,4,4,K,0.7205853
1694,4,4,R,0.963313
1702,4,5,D,0.9313112
1703,4,5,E,0.8656299
1708,4,5,K,0.8448752
1714,4,5,R,0.9781587
1722,4,6,D,0.94455767
1723,4,6,E,0.9386574
1728,4,6,K,0.96406174
1734,4,6,R,0.9602648
1742,4,7,D,1.0234345
1743,4,7,E,1.1312915
1748,4,7,K,0.81257504
1754,4,7,R,0.8824192
1762,4,8,D,1.1678649
1763,4,8,E,1.0726583
1768,4,8,K,1.4906627
1774,4,8,R,1.590372
1782,4,9,D,4.9896355
1783,4,9,E,3.092342
1788,4,9,K,0.7701316
1794,4,9,R,0.35746711
1802,4,10,D,1.2363192
1803,4,10,E,1.0633459
1808,4,10,K,1.4510652
1814,4,10,R,0.851671
1822,4,11,D,0.72808474
1823,4,11,E,0.68808967
1828,4,11,K,0.6465837
1834,4,11,R,0.7675711
1842,4,12,D,1.1075753
1843,4,12,E,1.0146475
1848,4,12,K,1.0694603
1854,4,12,R,0.89728796
1862,4,13,D,0.9172914
1863,4,13,E,0.81410205
1868,4,13,K,0.7649585
1874,4,13,R,0.8717508
1882,4,14,D,0.8945389
1883,4,14,E,1.007941
1888,4,14,K,0.9859924
1894,4,14,R,0.9610545
1902,4,15,D,0.38221455
1903,4,15,E,0.6255026
1908,4,15,K,0.63666296
1914,4,15,R,0.67624784
1922,4,16,D,0.4635354
1923,4,16,E,0.5462595
1928,4,16,K,0.6453809
1934,4,16,R,0.69243014
1942,4,17,D,0.63484454
1943,4,17,E,0.6140994
1948,4,17,K,0.61048424
1954,4,17,R,0.64623684
1962,4,18,D,1.7525952
1963,4,18,E,1.1150296
1968,4,18,K,0.7843525
1974,4,18,R,0.7475945
1982,4,19,D,0.94659233
1983,4,19,E,0.961857
1988,4,19,K,0.93442047
1994,4,19,R,0.9857602
2002,5,0,D,0.7534989
2003,5,0,E,0.6471896
2008,5,0,K,0.7131225
2014,5,0,R,0.87644964
2022,5,1,D,1.4079264
2023,5,1,E,1.5455183
2028,5,1,K,1.4012576
2034,5,1,R,0.99852455
2042,5,2,D,2.1805427
2043,5,2,E,0.6750994
2048,5,2,K,0.74709266
2054,5,2,R,0.7910106
2062,5,3,D,0.9490398
2063,5,3,E,0.9058855
2068,5,3,K,0.8806663
2074,5,3,R,0.7614616
2082,5,4,D,0.81623495
2083,5,4,E,0.6947266
2088,5,4,K,0.58441514
2094,5,4,R,0.6543911
2102,5,5,D,0.68009734
2103,5,5,E,0.8432356
2108,5,5,K,0.85538423
2114,5,5,R,0.7871782
2122,5,6,D,0.56086826
